"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1026676|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|magna||Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||32||NR||NR|mg/L|||||||||||||||||Total||32||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||2.0833||NR||NR|Day(s)|Not reported|NR|35525|Not reported|Not coded|||MIXTURE| ||||21||25|C|||||||NR|||||||||||||NR|   |Dowden,B.F., and H.J. Bennett|915|Toxicity of Selected Chemicals to Certain Animals|J. Water Pollut. Control Fed.37(9): 1308-1316|1965|
1221573|1336216|Ammonium hydroxide|Not reported|Measured|Not coded||NR||NR||NR|Ceriodaphnia dubia|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Ceriodaphnia|dubia||Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||NR/|>|0/|<|10/|mg/L|||||||||||||||||Total||NR|>|0|<|10|AI mg/L|||||||||||||||||Mortality|Survival||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|117530|Concurrent control|Not coded|||| CONC/FROM GRAPH//||26.4||25.6||26.8|C||8.6||8.3||9.6|mg/L||8.4||8.3||8.5||493||460||550|umhos/cm|   CONC/FROM GRAPH//|Cowgill,U.M., and D.P. Milazzo|45168|The Response of the Three Brood Ceriodaphnia Test to Fifteen Formulations and Pure Compounds in Common Use|Arch. Environ. Contam. Toxicol.21(1): 35-40|1991|
1026675|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|magna||Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||60||NR||NR|mg/L|||||||||||||||||Total||60||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||1.0417||NR||NR|Day(s)|Not reported|NR|35525|Not reported|Not coded|||MIXTURE| ||||21||25|C|||||||NR|||||||||||||NR|   |Dowden,B.F., and H.J. Bennett|915|Toxicity of Selected Chemicals to Certain Animals|J. Water Pollut. Control Fed.37(9): 1308-1316|1965|
1221575|1336216|Ammonium hydroxide|Not reported|Measured|Not coded||NR||NR||NR|Ceriodaphnia dubia|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Ceriodaphnia|dubia||Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||NR/|>|8/|<|9/|mg/L|||||||||||||||||Total||NR|>|8|<|9|AI mg/L|||||||||||||||||Mortality|Survival||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Brood or litter|Not reported|NR|117530|Concurrent control|Not coded|||| CONC/FROM GRAPH//||26.4||25.6||26.8|C||8.6||8.3||9.6|mg/L||8.4||8.3||8.5||493||460||550|umhos/cm|   CONC/FROM GRAPH//|Cowgill,U.M., and D.P. Milazzo|45168|The Response of the Three Brood Ceriodaphnia Test to Fifteen Formulations and Pure Compounds in Common Use|Arch. Environ. Contam. Toxicol.21(1): 35-40|1991|
1026677|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Water Flea|Animalia|Arthropoda|Crustacea||Branchiopoda|Diplostraca|Daphniidae|Daphnia|magna||Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||20||NR||NR|mg/L|||||||||||||||||Total||20||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||4.1667||NR||NR|Day(s)|Not reported|NR|35525|Not reported|Not coded|||MIXTURE| ||||21||25|C|||||||NR|||||||||||||NR|   |Dowden,B.F., and H.J. Bennett|915|Toxicity of Selected Chemicals to Certain Animals|J. Water Pollut. Control Fed.37(9): 1308-1316|1965|
2037864|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not reported||NR||NR||NR|Gambusia affinis|Western Mosquitofish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Gambusia|affinis||Fish|Adult||NR||NR||NR|Not reported|Wild||NR||NR||NR|NR|Female|NR|Static|Fresh water|Lab|6|Total||45||NR||NR|ppm|||||||||||||||||Total||45||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|ENDPT/TLM//|LC50/|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|NR|33528|Concurrent control|Not reported|0 ppm / 10 ppm / 18 ppm / 32 ppm / 56 ppm / 100 ppm||TOXICITY SYMPTOMS, TURBIDITY STUDY, EFFLUENT| ||||20||26|C|||||||NR||||8.2||8.8|||||||NR|   |Wallen,I.E., W.C. Greer, and R. Lasater|508|Toxicity to Gambusia affinis of Certain Pure Chemicals in Turbid Waters|Sewage Ind. Wastes29(6): 695-711|1957|
2037864|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not reported||NR||NR||NR|Gambusia affinis|Western Mosquitofish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Gambusia|affinis||Fish|Adult||NR||NR||NR|Not reported|Wild||NR||NR||NR|NR|Female|NR|Static|Fresh water|Lab|6|Total||37||NR||NR|ppm|||||||||||||||||Total||37||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|ENDPT/TLM//|LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Pure|NR|33528|Concurrent control|Not reported|0 ppm / 10 ppm / 18 ppm / 32 ppm / 56 ppm / 100 ppm||TOXICITY SYMPTOMS, TURBIDITY STUDY, EFFLUENT| ||||20||26|C|||||||NR||||8.2||8.8|||||||NR|   |Wallen,I.E., W.C. Greer, and R. Lasater|508|Toxicity to Gambusia affinis of Certain Pure Chemicals in Turbid Waters|Sewage Ind. Wastes29(6): 695-711|1957|
2037864|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not reported||NR||NR||NR|Gambusia affinis|Western Mosquitofish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cyprinodontiformes|Poeciliidae|Gambusia|affinis||Fish|Adult||NR||NR||NR|Not reported|Wild||NR||NR||NR|NR|Female|NR|Static|Fresh water|Lab|6|Total||37||NR||NR|ppm|||||||||||||||||Total||37||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|ENDPT/TLM//|LC50/|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Pure|NR|33528|Concurrent control|Not reported|0 ppm / 10 ppm / 18 ppm / 32 ppm / 56 ppm / 100 ppm||TOXICITY SYMPTOMS, TURBIDITY STUDY, EFFLUENT| ||||20||26|C|||||||NR||||8.2||8.8|||||||NR|   |Wallen,I.E., W.C. Greer, and R. Lasater|508|Toxicity to Gambusia affinis of Certain Pure Chemicals in Turbid Waters|Sewage Ind. Wastes29(6): 695-711|1957|
1200499|1336216|Ammonium hydroxide|Not reported|Not reported|Not coded||28||NR||NR|Channa punctata|Snake-Head Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Channidae|Channa|punctata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Not reported|Fresh water|Lab|NR|Total||47000||NR||NR|ug/L|||||||||||||||||Total||47||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Pure|NR|304456|Concurrent control|Not coded|||| |||||||NR|||||||NR|||||||||||||NR|   |Banerjee,S., and S. Bhattacharya|18229|Histopathological Changes Induced by Chronic Nonlethal Levels of Elsan, Mercury and Ammonia in the Liver of Channa punctatus (Bloch)|J. Environ. Biol.18(2): 141-148|1997|
1008627|1336216|Ammonium hydroxide|Not reported|Unmeasured|Not coded||NR||NR||NR|Channa punctata|Snake-Head Catfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Perciformes|Channidae|Channa|punctata||Fish|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|16 CM, 35 G|Static|Fresh water|Lab|NR|Unionized||12880*||NR||NR|ug/L|||||||||||||||||Unionized||12.88||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|304456|Insufficient|Not coded|||| |||||||NR|||||||NR|||||||||||||NR|   |Dey,S., and S. Bhattacharya|446|Ovarian Damage to Channa punctatus After Chronic Exposure to Low Concentrations of Elsan, Mercury, and Ammonia|Ecotoxicol. Environ. Saf.17(2): 247-257|1989|
