"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1061550|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Gastrophryne carolinensis|Eastern Narrow-Mouthed Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Microhylidae|Gastrophryne|carolinensis||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|FERTILIZATION THROUGH 4 DPH|Renewal|Fresh water|Lab|NR|Total||40||NR||NR|ug/L|||||||||||||||||Total||0.04||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|8429|Concurrent control|Not coded|||LC1, MEAN TOXICITY INDEX, PHENOL| NR|||||||NR|||||||SAT||||7.0||7.8|||||||NR|   NR|Birge,W.J., J.A. Black, and A.G. Westerman|4943|Evaluation of Aquatic Pollutants Using Fish and Amphibian Eggs as Bioassay Organisms|In: S.W.Nielsen, G.Migaki, and D.G.Scarpelli (Eds.), Symp.Animals Monitors Environ.Pollut.1977, Storrs, CT12:108-118|1979|
1246563|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Ptychadena bibroni|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Ptychadena|bibroni||Amphibians|Tadpole||NR||3||28|Days post-hatch|Wild||NC||NC||NC|NC|Not reported|PRIOR TO LIMB BUD STAGE|Static|Fresh water|Lab|6|Total||NR||0.126||0.159|ug/L|||||||||||||||||Total||NR||0.000126||0.000159|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/AGES COMBINED TO REPORT LC50////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|143492|Concurrent control|Not coded||2 REPLICATES|| TESTID/2//MSMT/NR//DOSES/0.10/0.15/0.20/0.25/0.50 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//||||30||32|C|||||||NR|||||||||||||NR|   TESTID/2//MSMT/NR//DOSES/0.10/0.15/0.20/0.25/0.50 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|Ezemonye,L.I.N., and A. Enuneku|84825|Evaluation of Acute Toxicity of Cadmium and Lead to Amphibian Tadpoles (Toad:  Bufo maculatus and Frog:  Ptychadena bibroni)|J. Aquat. Sci.20(1): 33-38|2005|
1246562|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Bufo maculatus|Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|maculatus||Amphibians|Tadpole||NR||3||28|Days post-hatch|Wild||NC||NC||NC|NC|Not reported|PRIOR TO LIMB BUD STAGE|Static|Fresh water|Lab|6|Total||NR||0.103||0.148|ug/L|||||||||||||||||Total||NR||0.000103||0.000148|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/AGES COMBINED TO REPORT LC50////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|35046|Concurrent control|Not coded||2 REPLICATES|| TESTID/1//MSMT/NR//DOSES/0.10/0.15/0.20/0.25/0.50 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//||||30||32|C|||||||NR|||||||||||||NR|   TESTID/1//MSMT/NR//DOSES/0.10/0.15/0.20/0.25/0.50 UG/L//SOURCE/WLD//WTINT/NR//DNUM/6//SEX/NR//TMETH/NR//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|Ezemonye,L.I.N., and A. Enuneku|84825|Evaluation of Acute Toxicity of Cadmium and Lead to Amphibian Tadpoles (Toad:  Bufo maculatus and Frog:  Ptychadena bibroni)|J. Aquat. Sci.20(1): 33-38|2005|
1167578|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Asellus aquaticus|Aquatic Sowbug|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Asellus|aquaticus||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||61.0||43.6||85.2|ug/L|||||||||||||||||Total||0.061||0.0436||0.0852|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||15||NR||NR|Day(s)|Not reported|NR|92525|Concurrent control|Not coded||FED|CANNIBALISM, PREY, PREFERENCE| ||16.0|||||C|>|80|||||%||6.9||||||332.5|||||umhos/cm|   |Ham,L., R. Quinn, and D. Pascoe|14932|Effects of Cadmium on the Predator-Prey Interaction Between the Turbellarian Dendrocoelum lacteum (Muller, 1774) and the Isopod Crustacean Asellus|Arch. Environ. Contam. Toxicol.29(3): 358-365|1995|
1146258|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Cypris subglobosa|Ostracod|Animalia|Arthropoda|Crustacea||Ostracoda|Podocopida|Cyprididae|Cypris|subglobosa||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||12660||10040||15960|ug/L|||||||||||||||||Total||12.66||10.04||15.96|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||LC16, LC84 RPTD| |||||||NR|||||||NR|||||||||||||NR|   |Vardia,H.K., P.S. Rao, and V.S. Durve|12365|Effect of Copper, Cadmium and Zinc on Fish-Food Organisms, Daphnia lumholtzi and Cypris subglobosa|Proc. Indian Acad. Sci. Anim. Sci.97(2): 175-180|1988|
1167572|7440439|Cadmium|Not reported|Not reported|Not coded||NR||NR||NR|Asellus aquaticus|Aquatic Sowbug|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Asellus|aquaticus||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|4-6 MM|Renewal|Fresh water|Lab|NR|Total||160||100||260|ug/L|||||||||||||||||Total||0.16||0.1||0.26|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|92525|Concurrent control|Not coded|||CANNIBALISM, PREY, PREFERENCE| ||16.0|||||C|>|80|||||%||6.9||||||332.5|||||umhos/cm|   |Ham,L., R. Quinn, and D. Pascoe|14932|Effects of Cadmium on the Predator-Prey Interaction Between the Turbellarian Dendrocoelum lacteum (Muller, 1774) and the Isopod Crustacean Asellus|Arch. Environ. Contam. Toxicol.29(3): 358-365|1995|
1143118|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Asellus aquaticus|Aquatic Sowbug|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Asellus|aquaticus||Crustaceans|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.52 MM|Renewal|Fresh water|Lab|NR|Total||320||NR||NR|ug/L|||||||||||||||||Total||0.32||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|92525|Insufficient|Not coded||CONDUCTIVITY 260 US/CM|LT50, TESTS WITH PRE-EXPOSED JUVENILES RPTD| ||11|||||C|>|90|||||%||7.83|||||||||||NR|   |Green,D.W.J., K.A. Williams, and D. Pascoe|11953|The Acute and Chronic Toxicity of Cadmium to Different Life History Stages of the Freshwater Crustacean Asellus aquaticus (L)|Arch. Environ. Contam. Toxicol.15(5): 465-471|1986|
1167586|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Asellus aquaticus|Aquatic Sowbug|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Asellus|aquaticus||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||38.7||27.0||55.5|ug/L|||||||||||||||||Total||0.0387||0.027||0.0555|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||20||NR||NR|Day(s)|Not reported|NR|92525|Concurrent control|Not coded||STARVED|CANNIBALISM, PREY, PREFERENCE| ||16.0|||||C|>|80|||||%||6.9||||||332.5|||||umhos/cm|   |Ham,L., R. Quinn, and D. Pascoe|14932|Effects of Cadmium on the Predator-Prey Interaction Between the Turbellarian Dendrocoelum lacteum (Muller, 1774) and the Isopod Crustacean Asellus|Arch. Environ. Contam. Toxicol.29(3): 358-365|1995|
1143975|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Asellus aquaticus|Aquatic Sowbug|Animalia|Arthropoda|Crustacea||Malacostraca|Isopoda|Asellidae|Asellus|aquaticus||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|8-10 MM|Flow-through|Fresh water|Lab|NR|Total||60||NR||NR|ug/L|||||||||||||||||Total||0.06||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TIME RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|92525|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
1146259|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Cypris subglobosa|Ostracod|Animalia|Arthropoda|Crustacea||Ostracoda|Podocopida|Cyprididae|Cypris|subglobosa||Crustaceans|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Renewal|Fresh water|Lab|NR|Total||6981||3480||13980|ug/L|||||||||||||||||Total||6.981||3.48||13.98|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||LC16, LC84 RPTD| |||||||NR|||||||NR|||||||||||||NR|   |Vardia,H.K., P.S. Rao, and V.S. Durve|12365|Effect of Copper, Cadmium and Zinc on Fish-Food Organisms, Daphnia lumholtzi and Cypris subglobosa|Proc. Indian Acad. Sci. Anim. Sci.97(2): 175-180|1988|
