"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
2167235|7440508|Copper|Not reported|Unmeasured|American Society for Testing and Materials||NR||NR||NR|Lithobates sphenocephalus ssp. sphenocephalus|Florida Leopard Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Lithobates|sphenocephalus||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NR||NR||NR|NR|Not reported|NR|Static|Fresh water|Lab|NR|Total||44/||39/||49/|ug/L|||||||||||||||||Total||0.044||0.039||0.049|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|146672|Concurrent control|Acute||1-6 TESTS PER SPECIES, 2-3 REPLICATES PER TEST|SPECIES SENSITIVITY DISTRIBUTIONS, ICE BASED MODELING USING ECOSAR, ASTER|CONC1/ADJUSTED TO 50 MG/L HARDNESS// |||||||NR|||||||NR|||||||||||||NR|  CONC1/ADJUSTED TO 50 MG/L HARDNESS// |Mayer,F.L., D.R. Buckler, F.J. Dwyer, M.R. Ellersieck, L.C. Sappington, J.M. Besser, and C.M. Bridges|153255|Endangered Aquatic Vertebrates: Comparative and Probabilistic-Based Toxicology|EPA/600/R-08/045, U.S.EPA, Washington, DC:43 p.|2008|
2167234|7440508|Copper|Not reported|Unmeasured|American Society for Testing and Materials||NR||NR||NR|Anaxyrus boreas|Western Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Anaxyrus|boreas||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NR||NR||NR|NR|Not reported|NR|Static|Fresh water|Lab|NR|Total||23/||21/||25/|ug/L|||||||||||||||||Total||0.023||0.021||0.025|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|30325|Concurrent control|Acute||1-6 TESTS PER SPECIES, 2-3 REPLICATES PER TEST|SPECIES SENSITIVITY DISTRIBUTIONS, ICE BASED MODELING USING ECOSAR, ASTER|CONC1/ADJUSTED TO 50 MG/L HARDNESS// |||||||NR|||||||NR|||||||||||||NR|  CONC1/ADJUSTED TO 50 MG/L HARDNESS// |Mayer,F.L., D.R. Buckler, F.J. Dwyer, M.R. Ellersieck, L.C. Sappington, J.M. Besser, and C.M. Bridges|153255|Endangered Aquatic Vertebrates: Comparative and Probabilistic-Based Toxicology|EPA/600/R-08/045, U.S.EPA, Washington, DC:43 p.|2008|
1061548|7440508|Copper|Not reported|Unmeasured|Not coded||NR||NR||NR|Gastrophryne carolinensis|Eastern Narrow-Mouthed Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Microhylidae|Gastrophryne|carolinensis||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|FERTILIZATION THROUGH 4 DPH|Renewal|Fresh water|Lab|NR|Total||40||NR||NR|ug/L|||||||||||||||||Total||0.04||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|8429|Concurrent control|Not coded|||LC1, MEAN TOXICITY INDEX, PHENOL| NR|||||||NR|||||||SAT||||7.0||7.8|||||||NR|   NR|Birge,W.J., J.A. Black, and A.G. Westerman|4943|Evaluation of Aquatic Pollutants Using Fish and Amphibian Eggs as Bioassay Organisms|In: S.W.Nielsen, G.Migaki, and D.G.Scarpelli (Eds.), Symp.Animals Monitors Environ.Pollut.1977, Storrs, CT12:108-118|1979|
2146103|7440508|Copper|Not reported|Measured|Not reported||NR||NR||NR|Leptodactylus latrans|Criolla Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Leptodactylidae|Leptodactylus|latrans||Amphibians|Tadpole||NR||NR||NR|Not reported|Wild||NR||NR||NR|NR|Not reported|0.9 CM|Static|Fresh water|Lab|7|Total||606||525||768|ug/L|||||||||||||||||Total||0.606||0.525||0.768|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|NR|1302381|Concurrent control|Not reported|35 ug/L / 115 ug/L / 180 ug/L / 210 ug/L / 445 ug/L / 500 ug/L / 610 ug/L|4 REPLICATES|| ||26|||||C|||||||NR|||||||||||||NR|   |Araujo,C.V.M., C. Shinn, M. Moreira-Santos, I. Lopes, E.L.G. Espindola, and R. Ribeiro|169558|Copper-Driven Avoidance and Mortality in Temperate and Tropical Tadpoles|Aquat. Toxicol.146:70-75|2014|
1223030|7440508|Copper|Not reported|Measured|Not coded||NR||NR||NR|Eurycea bislineata|Northern Two-Lined Salamander|Animalia|Chordata|Vertebrata||Amphibia|Caudata|Plethodontidae|Eurycea|bislineata||Amphibians|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|40 MM|Static|Fresh water|Lab|NR|Dissolved||1120||872||1450|ug/L|||||||||||||||||Dissolved||1.12||0.872||1.45|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|134758|Concurrent control|Not coded|||CONTINUOUS MAXIMUM CRITERION, FINAL ACUTE VALUE| ||20|||||C|||||||NR|||||||||||||NR|   |Dobbs,M.G., J.L. Farris, R.J. Reash, D.S. Cherry, and J.,Jr. Cairns|45214|Evaluation of the Resident-Species Procedure for Developing Site-Specific Water Quality Criteria for Copper in Blaine Creek, Kentucky|Environ. Toxicol. Chem.13(6): 963-971|1994|
2146105|7440508|Copper|Not reported|Measured|Not reported||NR||NR||NR|Pelophylax perezi|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Pelophylax|perezi||Amphibians|Tadpole||NR||NR||NR|Not reported|Wild||NR||NR||NR|NR|Not reported|1.0 CM|Static|Fresh water|Lab|7|Total||487||467||512|ug/L|||||||||||||||||Total||0.487||0.467||0.512|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|NR|8403|Concurrent control|Not reported|24 ug/L / 160 ug/L / 220 ug/L / 320 ug/L / 390 ug/L / 490 ug/L / 580 ug/L|3 REPLICATES|| ||20|||||C|||||||NR|||||||||||||NR|   |Araujo,C.V.M., C. Shinn, M. Moreira-Santos, I. Lopes, E.L.G. Espindola, and R. Ribeiro|169558|Copper-Driven Avoidance and Mortality in Temperate and Tropical Tadpoles|Aquat. Toxicol.146:70-75|2014|
1294334|7440508|Copper|Not reported|Unmeasured|Not coded||NR||NR||NR|Xenopus tropicalis|Clawed Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Pipidae|Xenopus|tropicalis||Amphibians; Standard Test Species|Embryo||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|BLASTULA STAGE|Renewal|Fresh water|Lab|11-15|Total||0.2||0.2||0.3|mg/L|||||||||||||||||Total||0.2||0.2||0.3|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||46||NR||NR|Nieuwkoop-faber-stage|Not reported|COPPER||Concurrent control|Not coded||FETAX SOLUTION USED IN ALL TESTS|| DNUM/11-15//DOSES/NA mg/L//TESTID/10//OEF/TERATOGENIC INDEX////||23|||||C|||||||NR||7.0|||||||||||NR|   DNUM/11-15//DOSES/NA mg/L//TESTID/10//OEF/TERATOGENIC INDEX////|Fort,D.J., R.L. Rogers, J.H. Thomas, B.O. Buzzard, A.M. Noll, and C.D. Spaulding|81751|Comparative Sensitivity of Xenopus tropicalis and Xenopus laevis as Test Species for the FETAX Model|J. Appl. Toxicol.24(6): 443-457|2004|
1294298|7440508|Copper|Not reported|Unmeasured|Not coded||NR||NR||NR|Xenopus tropicalis|Clawed Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Pipidae|Xenopus|tropicalis||Amphibians; Standard Test Species|Embryo||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|BLASTULA STAGE|Renewal|Fresh water|Lab|11-15|Total||0.3||0.2||0.4|mg/L|||||||||||||||||Total||0.3||0.2||0.4|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||46||NR||NR|Nieuwkoop-faber-stage|Not reported|COPPER||Concurrent control|Not coded||FETAX SOLUTION USED IN ALL TESTS|| DNUM/11-15//DOSES/NA mg/L//TESTID/9//OEF/TERATOGENIC INDEX////||23|||||C|||||||NR||7.0|||||||||||NR|   DNUM/11-15//DOSES/NA mg/L//TESTID/9//OEF/TERATOGENIC INDEX////|Fort,D.J., R.L. Rogers, J.H. Thomas, B.O. Buzzard, A.M. Noll, and C.D. Spaulding|81751|Comparative Sensitivity of Xenopus tropicalis and Xenopus laevis as Test Species for the FETAX Model|J. Appl. Toxicol.24(6): 443-457|2004|
1253347|7440508|Copper|Not coded|Measured|Not coded||NR||NR||NR|Lithobates pipiens|Leopard Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Lithobates|pipiens||Amphibians; Standard Test Species|Tadpole||1||NR||NR|Days post-hatch|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|6|Total||0.067||NR||NR|mg/L|||||||||||||||||Total||0.067||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NR||NR||NR||7||NR||NR|Day(s)|Not coded|COPPER|8404|Concurrent control|Not coded|||| DNUM/6//DOSES/0.019/0.036/0.057/0.071/0.093 mg/L//||20|||||C|||||||NC|||||||||||||NC|   DNUM/6//DOSES/0.019/0.036/0.057/0.071/0.093 mg/L//|Redick,M.S., and T.W. La Point|74224|Effects of Sublethal Copper Exposure on Behavior and Growth of Rana pipiens Tadpoles|Bull. Environ. Contam. Toxicol.72(4): 706-710|2004|
1295045|7440508|Copper|Not reported|Unmeasured|Not coded||NR||NR||NR|Xenopus tropicalis|Clawed Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Pipidae|Xenopus|tropicalis||Amphibians; Standard Test Species|Embryo||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|BLASTULA STAGE|Renewal|Fresh water|Lab|11-15|Total||0.4||0.3||0.4|mg/L|||||||||||||||||Total||0.4||0.3||0.4|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||46||NR||NR|Nieuwkoop-faber-stage|Not reported|COPPER||Concurrent control|Not coded||FETAX SOLUTION USED IN ALL TESTS|| DNUM/11-15//DOSES/NA mg/L//TESTID/11//OEF/TERATOGENIC INDEX////||27|||||C|||||||NR||7.0|||||||||||NR|   DNUM/11-15//DOSES/NA mg/L//TESTID/11//OEF/TERATOGENIC INDEX////|Fort,D.J., R.L. Rogers, J.H. Thomas, B.O. Buzzard, A.M. Noll, and C.D. Spaulding|81751|Comparative Sensitivity of Xenopus tropicalis and Xenopus laevis as Test Species for the FETAX Model|J. Appl. Toxicol.24(6): 443-457|2004|
