"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1090009|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||7||NR||NR|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||1400||900||2000|AI ug/L|||||||||||||||||Active ingredient||1.4||0.9||2|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL||Concurrent control|Not coded|||| ||16|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1045547|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Pseudacris triseriata ssp. triseriata|Western Chorus Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Pseudacris|triseriata||Amphibians|Tadpole||7||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Formulation||800||500||2300|ug/L|||||||||||||||||Formulation||0.8||0.5||2.3|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|T||Satisfactory|Not coded||TOTAL DISSOLVED SOLIDS 88 PPM,CA 7.1 PPM,MG 3.1 PPM|SYMPTOMS: IRRITABILITY,THEN LOSS OF EQUILIBRIUM,THEN DEATH| CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// ||15.5|||||C|||||||NR||7.1|||||||||||NR|   CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// |Sanders,H.O.|2891|Pesticide Toxicities to Tadpoles of the Western Chorus Frog Pseudacris triseriata and Fowler's Toad Bufo woodhousii fowleri|Copeia2:246-251|1970|
1090002|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||1||NR||NR|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||5300||2960||9900|AI ug/L|||||||||||||||||Active ingredient||5.3||2.96||9.9|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL||Concurrent control|Not coded|||| ||16|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1045546|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Pseudacris triseriata ssp. triseriata|Western Chorus Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Pseudacris|triseriata||Amphibians|Tadpole||7||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Formulation||900||400||1500|ug/L|||||||||||||||||Formulation||0.9||0.4||1.5|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|T||Satisfactory|Not coded||TOTAL DISSOLVED SOLIDS 88 PPM,CA 7.1 PPM,MG 3.1 PPM|SYMPTOMS: IRRITABILITY,THEN LOSS OF EQUILIBRIUM,THEN DEATH| CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// ||15.5|||||C|||||||NR||7.1|||||||||||NR|   CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// |Sanders,H.O.|2891|Pesticide Toxicities to Tadpoles of the Western Chorus Frog Pseudacris triseriata and Fowler's Toad Bufo woodhousii fowleri|Copeia2:246-251|1970|
1090010|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||7||NR||NR|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||30||6||400|AI ug/L|||||||||||||||||Active ingredient||0.03||0.006||0.4|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL||Concurrent control|Not coded|||| ||16|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1090005|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||NR||4||5|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||2400||730||8000|AI ug/L|||||||||||||||||Active ingredient||2.4||0.73||8|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL||Concurrent control|Not coded|||| ||16|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1045544|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||NR||28||35|Day(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Formulation||1500||40||6500|ug/L|||||||||||||||||Formulation||1.5||0.04||6.5|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|T||Satisfactory|Not coded||TOTAL DISSOLVED SOLIDS 88 PPM,CA 7.1 PPM,MG 3.1 PPM|SYMPTOMS: IRRITABILITY,THEN LOSS OF EQUILIBRIUM,THEN DEATH| CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// ||15.5|||||C|||||||NR||7.1|||||||||||NR|   CARRIER/ETHANOL// CONTR/SOLVENT,NO MORT// |Sanders,H.O.|2891|Pesticide Toxicities to Tadpoles of the Western Chorus Frog Pseudacris triseriata and Fowler's Toad Bufo woodhousii fowleri|Copeia2:246-251|1970|
1090012|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Pseudacris triseriata|Striped, Northern Chorus Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Pseudacris|triseriata||Amphibians|Tadpole||1||NR||NR|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||800||500||2300|AI ug/L|||||||||||||||||Active ingredient||0.8||0.5||2.3|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL|194198|Concurrent control|Not coded|||| ||15|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1090011|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Pseudacris triseriata|Striped, Northern Chorus Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Pseudacris|triseriata||Amphibians|Tadpole||1||NR||NR|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||1400||900||2800|AI ug/L|||||||||||||||||Active ingredient||1.4||0.9||2.8|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL|194198|Concurrent control|Not coded|||| ||15|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1090004|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Bufo woodhousei ssp. fowleri|Fowler's Toad|Animalia|Chordata|Vertebrata||Amphibia|Anura|Bufonidae|Bufo|woodhousei||Amphibians|Tadpole||NR||2||3|Week(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Active ingredient||5400||2900||10000|AI ug/L|||||||||||||||||Active ingredient||5.4||2.9||10|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|TECHNICAL MATERIAL||Concurrent control|Not coded|||| ||16|||||C|||||||NR||7.1|||||||||||NR|   |Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
