"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1112424|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||8||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|14.0 MM, INTERNAL GILLS, NO LIMBS|Static|Fresh water|Lab|NR|Active ingredient||2370.2||1657.3||3414.0|ug/L|||||||||||||||||Active ingredient||2.3702||1.6573||3.414|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1045571|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Pseudacris triseriata ssp. triseriata|Western Chorus Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Pseudacris|triseriata||Amphibians|Tadpole||7||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Formulation||290||180||450|ug/L|||||||||||||||||Formulation||0.29||0.18||0.45|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|T||Satisfactory|Not coded||TDS, CA, MG|SYMPTOMS OF IRRITABILITY, LOSS OF EQUILIBRIUM, DEATHANOL| CONTR/SOLV, NO MORT//CARRIER/ETHANOL// ||15.5|||||C|||||||NR||7.1|||||||||||NR|   CONTR/SOLV, NO MORT//CARRIER/ETHANOL// |Sanders,H.O.|2891|Pesticide Toxicities to Tadpoles of the Western Chorus Frog Pseudacris triseriata and Fowler's Toad Bufo woodhousii fowleri|Copeia2:246-251|1970|
1112430|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||16||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|28.0 MM, INTERNAL GILLS, NO LIMBS|Static|Fresh water|Lab|NR|Active ingredient||614.9||343.3||1179.6|ug/L|||||||||||||||||Active ingredient||0.6149||0.3433||1.1796|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1065117|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Technical grade, technical product, technical formulation|Measured|Not coded||98||NR||NR|Lithobates sphenocephalus ssp. sphenocephalus|Florida Leopard Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Lithobates|sphenocephalus||Amphibians|Egg||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Flow-through|Fresh water|Lab|NR|Active ingredient||25/||NR/||NR/|ug/L|||||||||||||||||Active ingredient||0.025||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Pure|NR|146672|Concurrent control|Not coded|||TOXICITY SYMPTOMS,RECOVERY|CONC1/FL REPORTED AS 8-NR// ||20|||||C|||||||NR||||7.2||7.5|||||||NR|  CONC1/FL REPORTED AS 8-NR// |Hall,R.J., and D. Swineford|5250|Toxic Effects of Endrin and Toxaphene on the Southern Leopard Frog Rana sphenocephala|Environ. Pollut. A.23(1): 53-65|1980|
1112420|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||2||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|10.5 MM, WITH EXTERNAL GILLS|Static|Fresh water|Lab|NR|Active ingredient||3998.7||2755.8||6787.1|ug/L|||||||||||||||||Active ingredient||3.9987||2.7558||6.7871|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1112425|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||8||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|14.0 MM, INTERNAL GILLS, NO LIMBS|Static|Fresh water|Lab|NR|Active ingredient||988.6||589.8||1718.1|ug/L|||||||||||||||||Active ingredient||0.9886||0.5898||1.7181|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1112434|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||45||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|18.7 MM, WITH INTERNAL GILLS|Static|Fresh water|Lab|NR|Active ingredient||74.0||30.0||148.0|ug/L|||||||||||||||||Active ingredient||0.074||0.03||0.148|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1112437|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||107||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|30.8 MM, PELVIC AND THORACIC LIMBS|Static|Fresh water|Lab|NR|Active ingredient||28.9||15.0||45.3|ug/L|||||||||||||||||Active ingredient||0.0289||0.015||0.0453|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/24.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/24.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1112435|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||107||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|30.8 MM, PELVIC AND THORACIC LIMBS|Static|Fresh water|Lab|NR|Active ingredient||321.4||164.7||585.3|ug/L|||||||||||||||||Active ingredient||0.3214||0.1647||0.5853|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||.5||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/24.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/24.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
1112421|72208|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]|Not reported|Unmeasured|Not coded||NR||NR||NR|Rana temporaria|Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|temporaria||Amphibians|Tadpole||2||NR||NR|Day(s)|Not reported||NC||NC||NC|NC|Not coded|10.5 MM, WITH EXTERNAL GILLS|Static|Fresh water|Lab|NR|Active ingredient||2008.6||1210.4||3194.7|ug/L|||||||||||||||||Active ingredient||2.0086||1.2104||3.1947|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|ENDRIN 20 SPOLANA,/|8407|Insufficient|Not coded||ACIDITY, FE, NH4, PO4, NO3, NO2, CL|LC90 RPTD, SYMPTOMS DESCR| PURITY/21.24 % ENDRIN, COMPOSITION DESCR//||20|||||C|||||||NR||6|||||||||||NR|   PURITY/21.24 % ENDRIN, COMPOSITION DESCR//|Wohlgemuth,E.|8480|Toxicity of Endrin to Some Species of Aquatic Vertebrates|Prirodoved. Pr. Ust. Akad. Ved Brne11(6): 1-38|1977|
