"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1271424|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|Not reported|>|95||NR||NR|Rana limnocharis|Bog Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|limnocharis||Amphibians|Tadpole|~|1||NR||NR|Month(s)|Wild||250||NR||NR|mg|Not reported|33.2 MM|Renewal|Fresh water|Lab|8|Active ingredient||165||141||193|mg/L|||||||||||||||||Active ingredient||165||141||193|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|Imidacloprid||Concurrent control|Acute|0 mg/L / 16.7 mg/L / 30.0 mg/L / 54.0 mg/L / 97.2 mg/L / 174.9 mg/L / 314.9 mg/L / 566.8 mg/L||| ||20|||||C|>|8.5|||||mg/L|||||||||||||NR|SOURCE/CAPTURED FROM ONE POOL IN THE ZHIJING MOUNTAIN AREA, 10 KM FROM NANJING CITY, CHINA//MEDIA/DISTILLED WATER//   |Feng,S., Z. Kong, X. Wang, L. Zhao, and P. Peng|102186|Acute Toxicity and Genotoxicity of Two Novel Pesticides on Amphibian, Rana n. Hallowell|Chemosphere56(5): 457-463|2004|
2132948|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|USEPA and ASTM methods||95.1||NR||NR|Hypsiboas pulchellus|Montevideo Tree Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Hypsiboas|pulchellus||Amphibians|Tadpole||36||35||37|Gosner stage|Wild||NR||NR||NR|NR|Not reported|NR|Renewal|Fresh water|Lab|8|Active ingredient||92.584||74.439||107.032|mg/L|||||||||||||||||Active ingredient||92.584||74.439||107.032|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Day(s)|Not reported|Imidacloprid|280005|Multiple types of controls were reported by the author|Acute|0 mg/L / 0 mg/L / 50 mg/L / 75 mg/L / 100 mg/L / 150 mg/L / 200 mg/L / 250 mg/L|4 REPLICATES|IN VITRO| ||25.0*|||||C||6.3*|||||mg/L||7.55*||||||994*|||||uS/cm|CONTR/C,V//   |Ruiz de Arcaute,C., J.M. Perez-Iglesias, N. Nikoloff, G.S. Natale, S. Soloneski, and M.L. Larramendy|168396|Genotoxicity Evaluation of the Insecticide Imidacloprid on Circulating Blood Cells of Montevideo Tree Frog Hypsiboas pulchellus Tadpoles (Anura, Hylidae) by Comet and Micronucleus Bioassays|Ecol. Indic.45:632-639|2014|
1271424|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|Not reported|>|95||NR||NR|Rana limnocharis|Bog Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|limnocharis||Amphibians|Tadpole|~|1||NR||NR|Month(s)|Wild||250||NR||NR|mg|Not reported|33.2 MM|Renewal|Fresh water|Lab|8|Active ingredient||116||100||135|mg/L|||||||||||||||||Active ingredient||116||100||135|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Day(s)|Not reported|Imidacloprid||Concurrent control|Acute|0 mg/L / 16.7 mg/L / 30.0 mg/L / 54.0 mg/L / 97.2 mg/L / 174.9 mg/L / 314.9 mg/L / 566.8 mg/L||| ||20|||||C|>|8.5|||||mg/L|||||||||||||NR|SOURCE/CAPTURED FROM ONE POOL IN THE ZHIJING MOUNTAIN AREA, 10 KM FROM NANJING CITY, CHINA//MEDIA/DISTILLED WATER//   |Feng,S., Z. Kong, X. Wang, L. Zhao, and P. Peng|102186|Acute Toxicity and Genotoxicity of Two Novel Pesticides on Amphibian, Rana n. Hallowell|Chemosphere56(5): 457-463|2004|
1271424|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|Not reported|>|95||NR||NR|Rana limnocharis|Bog Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Rana|limnocharis||Amphibians|Tadpole|~|1||NR||NR|Month(s)|Wild||250||NR||NR|mg|Not reported|33.2 MM|Renewal|Fresh water|Lab|8|Active ingredient||235||205||269|mg/L|||||||||||||||||Active ingredient||235||205||269|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|Imidacloprid||Concurrent control|Acute|0 mg/L / 16.7 mg/L / 30.0 mg/L / 54.0 mg/L / 97.2 mg/L / 174.9 mg/L / 314.9 mg/L / 566.8 mg/L||| DNUM/8//DOSES/16.7/30.0/54.0/97.2/174.9/314.9/566.8 mg/L//TESTID/1//OEF/IN VITRO////||20|||||C|>|8.5|||||mg/L|||||||||||||NR|SOURCE/CAPTURED FROM ONE POOL IN THE ZHIJING MOUNTAIN AREA, 10 KM FROM NANJING CITY, CHINA//MEDIA/DISTILLED WATER//   DNUM/8//DOSES/16.7/30.0/54.0/97.2/174.9/314.9/566.8 mg/L//TESTID/1//OEF/IN VITRO////|Feng,S., Z. Kong, X. Wang, L. Zhao, and P. Peng|102186|Acute Toxicity and Genotoxicity of Two Novel Pesticides on Amphibian, Rana n. Hallowell|Chemosphere56(5): 457-463|2004|
2132744|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Commercial grade|Unmeasured|United States Environmental Protection Agency||35||NR||NR|Hypsiboas pulchellus|Montevideo Tree Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Hypsiboas|pulchellus||Amphibians|Tadpole||36||NR||NR|Gosner stage|Wild||NR||NR||NR|NR|Not reported|NR|Renewal|Fresh water|Lab|8|Active ingredient||56.772||27.535||116.963|AI mg/L|||||||||||||||||Active ingredient||56.772||27.535||116.963|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||3||NR||NR|Day(s)|Not reported|Glacoxan Imida|280005|Multiple types of controls were reported by the author|Not reported|0 AI mg/L / 0 AI mg/L / 25.0 AI mg/L / 37.5 AI mg/L / 50.0 AI mg/L / 75.0 AI mg/L / 100.0 AI mg/L / 124.5 AI mg/L|4 REPLICATES|| ||25*|||||C||6.3*|||||mg/L||7.5*||||||994*|||||uS/cm|CONTR/C,P//   |Perez-Iglesias,J.M., C.R. De Arcaute, N. Nikoloff, L. Dury, S. Soloneski, G.S. Natale, and M.L. Larramendy|168449|The Genotoxic Effects of the Imidacloprid-Based Insecticide Formulation Glacoxan Imida on Montevideo Tree Frog Hypsiboas pulchellus Tadpoles (Anura, Hylidae)|Ecotoxicol. Environ. Saf.104:120-126|2014|
2132744|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Commercial grade|Unmeasured|United States Environmental Protection Agency||35||NR||NR|Hypsiboas pulchellus|Montevideo Tree Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Hypsiboas|pulchellus||Amphibians|Tadpole||36||NR||NR|Gosner stage|Wild||NR||NR||NR|NR|Not reported|NR|Renewal|Fresh water|Lab|8|Active ingredient||58.225||26.494||127.876|AI mg/L|||||||||||||||||Active ingredient||58.225||26.494||127.876|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|Glacoxan Imida|280005|Multiple types of controls were reported by the author|Not reported|0 AI mg/L / 0 AI mg/L / 25.0 AI mg/L / 37.5 AI mg/L / 50.0 AI mg/L / 75.0 AI mg/L / 100.0 AI mg/L / 124.5 AI mg/L|4 REPLICATES|| ||25*|||||C||6.3*|||||mg/L||7.5*||||||994*|||||uS/cm|CONTR/C,P//   |Perez-Iglesias,J.M., C.R. De Arcaute, N. Nikoloff, L. Dury, S. Soloneski, G.S. Natale, and M.L. Larramendy|168449|The Genotoxic Effects of the Imidacloprid-Based Insecticide Formulation Glacoxan Imida on Montevideo Tree Frog Hypsiboas pulchellus Tadpoles (Anura, Hylidae)|Ecotoxicol. Environ. Saf.104:120-126|2014|
2132744|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Commercial grade|Unmeasured|United States Environmental Protection Agency||35||NR||NR|Hypsiboas pulchellus|Montevideo Tree Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Hypsiboas|pulchellus||Amphibians|Tadpole||36||NR||NR|Gosner stage|Wild||NR||NR||NR|NR|Not reported|NR|Renewal|Fresh water|Lab|8|Active ingredient||52.622||48.470||58.185|AI mg/L|||||||||||||||||Active ingredient||52.622||48.47||58.185|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|Glacoxan Imida|280005|Multiple types of controls were reported by the author|Not reported|0 AI mg/L / 0 AI mg/L / 25.0 AI mg/L / 37.5 AI mg/L / 50.0 AI mg/L / 75.0 AI mg/L / 100.0 AI mg/L / 124.5 AI mg/L|4 REPLICATES|| ||25*|||||C||6.3*|||||mg/L||7.5*||||||994*|||||uS/cm|CONTR/C,P//   |Perez-Iglesias,J.M., C.R. De Arcaute, N. Nikoloff, L. Dury, S. Soloneski, G.S. Natale, and M.L. Larramendy|168449|The Genotoxic Effects of the Imidacloprid-Based Insecticide Formulation Glacoxan Imida on Montevideo Tree Frog Hypsiboas pulchellus Tadpoles (Anura, Hylidae)|Ecotoxicol. Environ. Saf.104:120-126|2014|
2132744|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Commercial grade|Unmeasured|United States Environmental Protection Agency||35||NR||NR|Hypsiboas pulchellus|Montevideo Tree Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Hylidae|Hypsiboas|pulchellus||Amphibians|Tadpole||36||NR||NR|Gosner stage|Wild||NR||NR||NR|NR|Not reported|NR|Renewal|Fresh water|Lab|8|Active ingredient||69.412||62.872||75.522|AI mg/L|||||||||||||||||Active ingredient||69.412||62.872||75.522|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|Glacoxan Imida|280005|Multiple types of controls were reported by the author|Not reported|0 AI mg/L / 0 AI mg/L / 25.0 AI mg/L / 37.5 AI mg/L / 50.0 AI mg/L / 75.0 AI mg/L / 100.0 AI mg/L / 124.5 AI mg/L|4 REPLICATES|| ||25*|||||C||6.3*|||||mg/L||7.5*||||||994*|||||uS/cm|CONTR/C,P//   |Perez-Iglesias,J.M., C.R. De Arcaute, N. Nikoloff, L. Dury, S. Soloneski, G.S. Natale, and M.L. Larramendy|168449|The Genotoxic Effects of the Imidacloprid-Based Insecticide Formulation Glacoxan Imida on Montevideo Tree Frog Hypsiboas pulchellus Tadpoles (Anura, Hylidae)|Ecotoxicol. Environ. Saf.104:120-126|2014|
1275271|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|Not reported|>|95||NR||NR|Pelophylax nigromaculatus|Black-Spotted Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Pelophylax|nigromaculatus||Amphibians|Tadpole|~|1.5||NR||NR|Month(s)|Wild||461||NR||NR|mg|Not reported|37.5 MM, RANA N. HALLOWELL|Renewal|Fresh water|Lab|8|Active ingredient||268||226||318|mg/L|||||||||||||||||Active ingredient||268||226||318|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|Imidacloprid|8409|Concurrent control|Acute|0 mg/L / 30 mg/L / 45 mg/L / 67.5 mg/L / 101.2 mg/L / 151.8 mg/L / 227.8 mg/L / 341.7 mg/L||| ||20|||||C|>|8.5|||||mg/L|||||||||||||NR|SOURCE/CAPTURED FROM ONE POOL IN THE ZHIJING MOUNTAIN AREA, 10 KM FROM NANJING CITY, CHINA//MEDIA/DISTILLED WATER//   |Feng,S., Z. Kong, X. Wang, L. Zhao, and P. Peng|102186|Acute Toxicity and Genotoxicity of Two Novel Pesticides on Amphibian, Rana n. Hallowell|Chemosphere56(5): 457-463|2004|
1275271|138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured|Not reported|>|95||NR||NR|Pelophylax nigromaculatus|Black-Spotted Frog|Animalia|Chordata|Vertebrata||Amphibia|Anura|Ranidae|Pelophylax|nigromaculatus||Amphibians|Tadpole|~|1.5||NR||NR|Month(s)|Wild||461||NR||NR|mg|Not reported|37.5 MM, RANA N. HALLOWELL|Renewal|Fresh water|Lab|8|Active ingredient||219||153||313|mg/L|||||||||||||||||Active ingredient||219||153||313|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|Imidacloprid|8409|Concurrent control|Acute|0 mg/L / 30 mg/L / 45 mg/L / 67.5 mg/L / 101.2 mg/L / 151.8 mg/L / 227.8 mg/L / 341.7 mg/L||| ||20|||||C|>|8.5|||||mg/L|||||||||||||NR|SOURCE/CAPTURED FROM ONE POOL IN THE ZHIJING MOUNTAIN AREA, 10 KM FROM NANJING CITY, CHINA//MEDIA/DISTILLED WATER//   |Feng,S., Z. Kong, X. Wang, L. Zhao, and P. Peng|102186|Acute Toxicity and Genotoxicity of Two Novel Pesticides on Amphibian, Rana n. Hallowell|Chemosphere56(5): 457-463|2004|
